PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Mishra, DR; Narumalani, S; Rundquist, D; Lawson, M				Mishra, DR; Narumalani, S; Rundquist, D; Lawson, M			High-resolution ocean color remote sensing of Benthic habitats: A case study at the Roatan Island, Honduras	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					JUL	2005	43	7					1592	1604		10.1109/TGRS.2005.847790								WOS:000230149900017						
J	Andrade, CA; Barton, ED				Andrade, CA; Barton, ED			The Guajira upwelling system	CONTINENTAL SHELF RESEARCH																	barton, eric/0000-0002-5315-5968												0278-4343					JUN	2005	25	9					1003	1022		10.1016/j.csr.2004.12.012								WOS:000228623500001						
J	Cornejo, RH; Koedam, N; Luna, AR; Troell, M; Dahdouh-Guebas, F				Cornejo, RH; Koedam, N; Luna, AR; Troell, M; Dahdouh-Guebas, F			Remote sensing and ethnobotanical assessment of the Mangrove forest changes in the Navachiste-San Ignacio-Macapule lagoon complex, Sinaloa, Mexico	ECOLOGY AND SOCIETY																Dahdouh-Guebas, Farid/B-9154-2008													1708-3087					JUN	2005	10	1							16									WOS:000230237900007						
J	Sarangi, RK; Chauhan, P; Nayak, SR				Sarangi, RK; Chauhan, P; Nayak, SR			Inter-annual variability of phytoplankton blooms in the northern Arabian Sea during winter monsoon period (February-March) using IRS-P4 OCM data	INDIAN JOURNAL OF MARINE SCIENCES																													0379-5136					JUN	2005	34	2					163	173										WOS:000229717000002						
J	Baldi, P; Fabris, M; Marsella, M; Monticelli, R				Baldi, P; Fabris, M; Marsella, M; Monticelli, R			Monitoring the morphological evolution of the Sciara del Fuoco during the 2002-2003 Stromboli eruption using multi-temporal photogrammetry	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING					30th International Symposium on Remote Sensing of Environment	NOV, 2003	Honolulu, HI									marsella, maria/F-9263-2015													0924-2716					JUN	2005	59	4					199	211		10.1016/j.isprsjprs.2005.02.004								WOS:000230050500003						
J	Ahn, YH; Shanmugam, P; Chang, KI; Moon, JE; Ryu, JH				Ahn, Yu-Hwan; Shanmugam, Palanisamy; Chang, Kyung-Il; Moon, Jeong-Eon; Ryu, Joo-Hyung			Spatial and Temporal Aspects of Phytoplankton Blooms in Complex Ecosystems Off the Korean Coast from Satellite Ocean Color Observations	OCEAN SCIENCE JOURNAL																													1738-5261	2005-7172				JUN	2005	40	2					67	78		10.1007/BF03028587                                                              								WOS:000208917200002						
J	Lamont-Smith, T; Dovey, PR				Lamont-Smith, T; Dovey, PR			The effect of tidal currents on radar backscatter from the sea around Portland Bill	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161	1366-5901				MAY 20	2005	26	10					2061	2079		10.1080/01431160512331337989								WOS:000230647000004						
J	Van Tuyl, S; Law, BE; Turner, DP; Gitelman, AI				Van Tuyl, S; Law, BE; Turner, DP; Gitelman, AI			Variability in net primary production and carbon storage in biomass across Oregon forests - an assessment integrating data from forest inventories, intensive sites, and remote sensing	FOREST ECOLOGY AND MANAGEMENT																Law, Beverly/G-3882-2010	Law, Beverly/0000-0002-1605-1203; Van Tuyl, Steven/0000-0002-8752-272X												0378-1127					MAY 2	2005	209	3					273	291		10.1016/j.foreco.2005.02.002								WOS:000228504800008						
J	Fettweis, X; Gallee, H; Lefebre, F; van Ypersele, JP				Fettweis, X; Gallee, H; Lefebre, F; van Ypersele, JP			Greenland surface mass balance simulated by a regional climate model and comparison with satellite-derived data in 1990-1991	CLIMATE DYNAMICS																	Fettweis, Xavier/0000-0002-4140-3813												0930-7575					MAY	2005	24	6					623	640		10.1007/s00382-005-0010-y								WOS:000230091600007						
J	Alphan, H; Yilmaz, KT				Alphan, H; Yilmaz, KT			Monitoring environmental changes in the Mediterranean coastal landscape: The case of Cukurova, Turkey	ENVIRONMENTAL MANAGEMENT																													0364-152X					MAY	2005	35	5					607	619		10.1007/s00267-004-0222-7								WOS:000229970900007	15902445					
