PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Li, GX; Zhuang, KL; Wei, HL				Li, GX; Zhuang, KL; Wei, HL			Sedimentation in the Yellow River delta. Part III. Seabed erosion and diapirism in the abandoned subaqueous delta lobe	MARINE GEOLOGY																													0025-3227					AUG 15	2000	168	1-4					129	144		10.1016/S0025-3227(00)00053-0								WOS:000088791500008						
J	Bezy, JL; Delwart, S; Rast, M				Bezy, JL; Delwart, S; Rast, M			MERIS - A new generation of ocean-colour sensor onboard Envisat	ESA BULLETIN-EUROPEAN SPACE AGENCY																													0376-4265					AUG	2000		103					48	56										WOS:000089839500007						
J	Stedmon, CA; Markager, S; Kaas, H				Stedmon, CA; Markager, S; Kaas, H			Optical properties and signatures of chromophoric dissolved organic matter (CDOM) in Danish coastal waters	ESTUARINE COASTAL AND SHELF SCIENCE																Stedmon, Colin/B-5841-2008; Markager, Stiig/I-7587-2013	Stedmon, Colin/0000-0001-6642-9692; Markager, Stiig/0000-0001-5427-2026												0272-7714					AUG	2000	51	2					267	278		10.1006/ecss.2000.0645								WOS:000089487500011						
J	Moreno, JID; Agostini, VN; Caddy, JF; Carocci, F				Moreno, JID; Agostini, VN; Caddy, JF; Carocci, F			Is the pelagic-demersal ratio from fishery landings a useful proxy for nutrient availability? A preliminary data exploration for the semi-enclosed seas around Europe	ICES JOURNAL OF MARINE SCIENCE																													1054-3139					AUG	2000	57	4					1091	1102		10.1006/jmsc.2000.0705								WOS:000089933800029						
J	Owen, RB; Zozulya, AA				Owen, RB; Zozulya, AA			In-line digital holographic sensor for monitoring and characterizing marine particulates	OPTICAL ENGINEERING																													0091-3286					AUG	2000	39	8					2187	2197		10.1117/1.1305542								WOS:000088734700026						
J	Joint, I; Groom, SB				Joint, I; Groom, SB			Estimation of phytoplankton production from space: current status and future potential of satellite remote sensing	JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY																Groom, Steve/A-1355-2012													0022-0981					JUL 30	2000	250	1-2					233	255		10.1016/S0022-0981(00)00199-4								WOS:000089225400012						
J	Trees, CC; Clark, DK; Bidigare, RR; Ondrusek, ME; Mueller, JL				Trees, CC; Clark, DK; Bidigare, RR; Ondrusek, ME; Mueller, JL			Accessory pigments versus chlorophyll a concentrations within the euphotic zone: A ubiquitous relationship	LIMNOLOGY AND OCEANOGRAPHY																Ondrusek, Michael/F-5617-2010	Ondrusek, Michael/0000-0002-5311-9094												0024-3590					JUL	2000	45	5					1130	1143		10.4319/lo.2000.45.5.1130								WOS:000088572700011						
J	Chin, HNS; Rodriguez, DJ; Cederwall, RT; Chuang, CC; Grossman, AS; Yio, JJ; Fu, Q; Miller, MA				Chin, HNS; Rodriguez, DJ; Cederwall, RT; Chuang, CC; Grossman, AS; Yio, JJ; Fu, Q; Miller, MA			A microphysical retrieval scheme for continental low-level stratiform clouds: Impacts of the subadiabatic character on microphysical properties and radiation budgets	MONTHLY WEATHER REVIEW																chuang, cathy/H-4814-2012													0027-0644					JUL	2000	128	7	2				2511	2527		10.1175/1520-0493(2000)128<2511:AMRSFC>2.0.CO;2								WOS:000166058500008						
J	Sigernes, F; Lorentzen, DA; Heia, K; Svenoe, T				Sigernes, F; Lorentzen, DA; Heia, K; Svenoe, T			Multipurpose spectral imager	APPLIED OPTICS																													1559-128X	2155-3165				JUN 20	2000	39	18					3143	3153		10.1364/AO.39.003143								WOS:000087668600020	18345245					
J	Kitsiou, D; Karydis, M				Kitsiou, D; Karydis, M			Categorical mapping of marine eutrophication based on ecological indices	SCIENCE OF THE TOTAL ENVIRONMENT																													0048-9697					JUN 8	2000	255	1-3					113	127		10.1016/S0048-9697(00)00457-5								WOS:000087746100010	10898399					
J	Hagar, WG; Crosby, BA; Stallsmith, BW				Hagar, WG; Crosby, BA; Stallsmith, BW			Comparing and assessing acid rain-sensitive ponds	JOURNAL OF HAZARDOUS MATERIALS					216th National Meeting of the American-Chemical-Society	AUG 21-27, 1998	BOSTON, MASSACHUSETTS	Amer Chem Soc, Div Polymer Mat, Sci & Engn Inc, Div Polymer Mat, Exxon Res & Engn CO, Amer Chem Soc, Petr Res Fund, Amer Chem Soc, Div Fluorine Chem, Amer Chem Soc, Div Organ Chem, Amer Chem Soc, Corp Associates, Dow Agrosci, Monsanto Co, Eastman Kodak Co, Schering Plough, Merck Res Labs, Cent Glass Int Inc, Daikin Ind, Kanto Denka Kogyo Co, Asahi Glass Co, Div Agr & Food Chem																					0304-3894					MAY 29	2000	74	1-2					125	131		10.1016/S0304-3894(99)00203-4								WOS:000087140200010	10781722					
J	Roff, JC; Taylor, ME				Roff, JC; Taylor, ME			National frameworks for marine conservation - A hierarchical geophysical approach	AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS																Wright, Dawn/A-4518-2011	Wright, Dawn/0000-0002-2997-7611												1052-7613					MAY-JUN	2000	10	3					209	223		10.1002/1099-0755(200005/06)10:3<209::AID-AQC408>3.0.CO;2-J								WOS:000087530500004						
J	Li, Y; Li, J				Li, Y; Li, J			A suspended sediment satellite sensing algorithm based on gradient transiting from water-leaving to satellite-detected reflectance spectrum	CHINESE SCIENCE BULLETIN																													1001-6538					MAY	2000	45	10					925	931		10.1007/BF02886202								WOS:000088416300014						
J	Dunbar, JA; Allen, PM; Higley, PD				Dunbar, JA; Allen, PM; Higley, PD			Color-encoding multifrequency acoustic data for near-bottom studies	GEOPHYSICS																													0016-8033					MAY-JUN	2000	65	3					994	1002		10.1190/1.1444795								WOS:000087656200027						
J	Carleton, AM; Song, YD				Carleton, AM; Song, YD			Satellite passive sensing of the marine atmosphere associated with cold-air mesoscale cyclones	PROFESSIONAL GEOGRAPHER																													0033-0124	1467-9272				MAY	2000	52	2					289	306		10.1111/0033-0124.00225								WOS:000087120600012						
J	Flamant, C; Pelon, J; Chazette, P; Trouillet, V; Quinn, PK; Frouin, R; Bruneau, D; Leon, JF; Bates, TS; Johnson, J; Livingston, J				Flamant, C; Pelon, J; Chazette, P; Trouillet, V; Quinn, PK; Frouin, R; Bruneau, D; Leon, JF; Bates, TS; Johnson, J; Livingston, J			Airborne lidar measurements of aerosol spatial distribution and optical properties over the Atlantic Ocean during a European pollution outbreak of ACE-2	TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY																Bates, Timothy/L-6080-2016; Quinn, Patricia/R-1493-2016	Quinn, Patricia/0000-0003-0337-4895												0280-6509					APR	2000	52	2					662	677		10.1034/j.1600-0889.2000.00083.x								WOS:000087147900031						
J	Krotkov, NA; Vasilkov, AP				Krotkov, NA; Vasilkov, AP			Reduction of skylight reflection effects in the above-water measurement of diffuse marine reflectance: comment	APPLIED OPTICS																Krotkov, Nickolay/E-1541-2012	Krotkov, Nickolay/0000-0001-6170-6750												1559-128X	2155-3165				MAR 20	2000	39	9					1379	1381		10.1364/AO.39.001379								WOS:000085953800004	18338021					
J	Brenguier, JL; Pawlowska, H; Schuller, L; Preusker, R; Fischer, J; Fouquart, Y				Brenguier, JL; Pawlowska, H; Schuller, L; Preusker, R; Fischer, J; Fouquart, Y			Radiative properties of boundary layer clouds: Droplet effective radius versus number concentration	JOURNAL OF THE ATMOSPHERIC SCIENCES																PAWLOWSKA, Hanna/C-9827-2013	PAWLOWSKA, Hanna/0000-0002-5345-778X												0022-4928					MAR 15	2000	57	6					803	821		10.1175/1520-0469(2000)057<0803:RPOBLC>2.0.CO;2								WOS:000085723900002						
